"Gene ID","source_id","Computed GO Component IDs","Computed GO Components","Computed GO Functions","Computed GO Function IDs","Computed GO Process IDs","Computed GO Processes"
"BESB_009930","mrna.BESB_009930","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"BESB_022320","mrna.BESB_022320","GO:0005874","microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"BESB_029970","mrna.BESB_029970","GO:0005874","microtubule","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0007017","microtubule-based process"
"BESB_039600","mrna.BESB_039600","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"BESB_049820","mrna.BESB_049820","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"BESB_055160","mrna.BESB_055160","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"BESB_059730","mrna.BESB_059730","GO:0000930;GO:0005874","gamma-tubulin complex;microtubule","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0031122;GO:0007020;GO:0007017","cytoplasmic microtubule organization;microtubule nucleation;microtubule-based process"
"BESB_068050","mrna.BESB_068050","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"BESB_073800","mrna.BESB_073800","GO:0016021","integral component of membrane","protein binding","GO:0005515","N/A","N/A"
"BESB_078340","mrna.BESB_078340","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"BESB_080330","mrna.BESB_080330","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"CSUI_000142","CSUI_000142-t36_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"CSUI_000781","CSUI_000781-t36_1","N/A","N/A","N/A","N/A","N/A","N/A"
"CSUI_001319","CSUI_001319-t36_1","GO:0005874","microtubule","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0007017","microtubule-based process"
"CSUI_001393","CSUI_001393-t36_1","GO:0005874","microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"CSUI_002156","CSUI_002156-t36_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"CSUI_002962","CSUI_002962-t36_1","GO:0000930;GO:0005874","gamma-tubulin complex;microtubule","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0031122;GO:0007020;GO:0007017","cytoplasmic microtubule organization;microtubule nucleation;microtubule-based process"
"CSUI_003785","CSUI_003785-t36_1","N/A","N/A","N/A","N/A","N/A","N/A"
"CSUI_005294","CSUI_005294-t36_1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"CSUI_006169","CSUI_006169-t36_1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"CSUI_006267","CSUI_006267-t36_1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"CSUI_008696","CSUI_008696-t36_1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"CSUI_009221","CSUI_009221-t36_1","N/A","N/A","N/A","N/A","N/A","N/A"
"CSUI_009771","CSUI_009771-t36_1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"CSUI_009830","CSUI_009830-t36_1","N/A","N/A","nucleic acid binding","GO:0003676","N/A","N/A"
"CSUI_009859","CSUI_009859-t36_1","N/A","N/A","N/A","N/A","N/A","N/A"
"CSUI_011503","CSUI_011503-t36_1","N/A","N/A","N/A","N/A","N/A","N/A"
"EBH_0003280","EBH_0003280-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"EMH_0085120","EMH_0085120-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"EPH_0062460","EPH_0062460-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"LOC34620807","LOC34620807-t45_1","N/A","N/A","N/A","N/A","N/A","N/A"
"EAH_00007740","EAH_00007740-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"EAH_00014460","EAH_00014460-t26_1","N/A","N/A","hydrolase activity","GO:0016787","GO:0016042;GO:0006629","lipid catabolic process;lipid metabolic process"
"EAH_00017960","EAH_00017960-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"EAH_00023330","EAH_00023330-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"EAH_00028580","EAH_00028580-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"EAH_00053930","EAH_00053930-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ENH_00047220","ENH_00047220.1","N/A","N/A","triglyceride lipase activity","GO:0004806","GO:0016042;GO:0006629","lipid catabolic process;lipid metabolic process"
"ENH_00054670","ENH_00054670.1","N/A","N/A","N/A","N/A","N/A","N/A"
"ENH_00070350","ENH_00070350.1","N/A","N/A","N/A","N/A","N/A","N/A"
"ENH_00071370","ENH_00071370.1","N/A","N/A","N/A","N/A","N/A","N/A"
"ENH_00076700","ENH_00076700.1","N/A","N/A","hydrolase activity","GO:0016787","GO:0016042;GO:0006629","lipid catabolic process;lipid metabolic process"
"ENH_00082450","ENH_00082450.1","N/A","N/A","hydrolase activity","GO:0016787","GO:0016042;GO:0006629","lipid catabolic process;lipid metabolic process"
"ENH_00086070","ENH_00086070.1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"ETH2_0401900","ETH2_0401900_mRNA1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"ETH2_0530700","ETH2_0530700_mRNA1","GO:0005874","microtubule","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0007017","microtubule-based process"
"ETH2_0609600","ETH2_0609600_mRNA1","GO:0005874","microtubule","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0007017","microtubule-based process"
"ETH2_1040000","ETH2_1040000_mRNA1","GO:0005814;GO:0005929;GO:0005874;GO:0005634","centriole;cilium;microtubule;nucleus","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0030030;GO:0007017","cell projection organization;microtubule-based process"
"ETH2_1334500","ETH2_1334500_mRNA1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"ETH2_1417400","ETH2_1417400_mRNA1","GO:0005874","microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"ETH2_1509900","ETH2_1509900_mRNA1","N/A","N/A","DNA binding","GO:0003677","GO:0006352","DNA-templated transcription, initiation"
"ETH2_1576800","ETH2_1576800_mRNA1","GO:0000930;GO:0005874","gamma-tubulin complex;microtubule","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0031122;GO:0007020;GO:0007017","cytoplasmic microtubule organization;microtubule nucleation;microtubule-based process"
"ETH_00000075","ETH_00000075-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00000080","ETH_00000080-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00000115","ETH_00000115-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00000150","ETH_00000150-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00000575","ETH_00000575-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00000580","ETH_00000580-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00001040","ETH_00001040-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00001175","ETH_00001175-t26_1","N/A","N/A","ATP binding;protein kinase activity;protein serine/threonine kinase activity","GO:0005524;GO:0004672;GO:0004674","GO:0006468","protein phosphorylation"
"ETH_00001370","ETH_00001370-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00001445","ETH_00001445-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00002510","ETH_00002510-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00002830","ETH_00002830-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00002905","ETH_00002905-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00003400","ETH_00003400-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00003530","ETH_00003530-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00004180","ETH_00004180-t26_1","N/A","N/A","ATP binding;MAP kinase activity;protein kinase activity","GO:0005524;GO:0004707;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00004310","ETH_00004310-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00004375","ETH_00004375-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00005170","ETH_00005170-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00005190","ETH_00005190-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00005335","ETH_00005335-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00005380","ETH_00005380-t26_1","N/A","N/A","ATP binding;MAP kinase activity;protein kinase activity","GO:0005524;GO:0004707;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00005400","ETH_00005400-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00005405","ETH_00005405-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00005410","ETH_00005410-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00005415","ETH_00005415-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00005840","ETH_00005840-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00005905","ETH_00005905-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00007635","ETH_00007635-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00008000","ETH_00008000-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00011250","ETH_00011250-t26_1","N/A","N/A","ATP binding;calcium ion binding;protein kinase activity","GO:0005524;GO:0005509;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00011680","ETH_00011680-t26_1","N/A","N/A","ATP binding;protein kinase activity;protein serine/threonine kinase activity","GO:0005524;GO:0004672;GO:0004674","GO:0006468","protein phosphorylation"
"ETH_00012470","ETH_00012470-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00012760","ETH_00012760-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00012950","ETH_00012950-t26_1","N/A","N/A","ATP binding;protein kinase activity;protein serine/threonine kinase activity","GO:0005524;GO:0004672;GO:0004674","GO:0006468","protein phosphorylation"
"ETH_00013220","ETH_00013220-t26_1","N/A","N/A","triglyceride lipase activity","GO:0004806","GO:0006629","lipid metabolic process"
"ETH_00013325","ETH_00013325-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00014495","ETH_00014495-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00015210","ETH_00015210-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00015835","ETH_00015835-t26_1","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"ETH_00016095","ETH_00016095-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00016115","ETH_00016115-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00016405","ETH_00016405-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00016760","ETH_00016760-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00016910","ETH_00016910-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00017050","ETH_00017050-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00017055","ETH_00017055-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00018895","ETH_00018895-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00019125","ETH_00019125-t26_1","N/A","N/A","carbohydrate derivative binding;glutamine-fructose-6-phosphate transaminase (isomerizing) activity","GO:0097367;GO:0004360","GO:1901137;GO:1901135","carbohydrate derivative biosynthetic process;carbohydrate derivative metabolic process"
"ETH_00019920","ETH_00019920-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00020585","ETH_00020585-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00020590","ETH_00020590-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00020610","ETH_00020610-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00020615","ETH_00020615-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00020620","ETH_00020620-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00021090","ETH_00021090-t26_1","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"ETH_00021185","ETH_00021185-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00021990","ETH_00021990-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00022015","ETH_00022015-t26_1","N/A","N/A","ATP binding;calcium ion binding;protein kinase activity","GO:0005524;GO:0005509;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00022035","ETH_00022035-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00022375","ETH_00022375-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"ETH_00022575","ETH_00022575-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00023100","ETH_00023100-t26_1","N/A","N/A","oxidoreductase activity","GO:0016491","GO:0055114","obsolete oxidation-reduction process"
"ETH_00023650","ETH_00023650-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00024365","ETH_00024365-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00024540","ETH_00024540-t26_1","N/A","N/A","ATP binding;calcium ion binding;protein kinase activity","GO:0005524;GO:0005509;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00024560","ETH_00024560-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00025085","ETH_00025085-t26_1","N/A","N/A","ATP binding;calcium ion binding;protein kinase activity","GO:0005524;GO:0005509;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00025145","ETH_00025145-t26_1","N/A","N/A","serine-type endopeptidase activity","GO:0004252","GO:0006508","proteolysis"
"ETH_00025355","ETH_00025355-t26_1","N/A","N/A","ATP binding;calcium ion binding;protein kinase activity","GO:0005524;GO:0005509;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00025675","ETH_00025675-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00026495","ETH_00026495-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00027525","ETH_00027525-t26_1","N/A","N/A","ATP binding;protein kinase activity;protein serine/threonine kinase activity","GO:0005524;GO:0004672;GO:0004674","GO:0006468","protein phosphorylation"
"ETH_00027695","ETH_00027695-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00027700","ETH_00027700-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00027705","ETH_00027705-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00028385","ETH_00028385-t26_1","GO:0016020","membrane","copper ion binding;primary amine oxidase activity;quinone binding","GO:0005507;GO:0008131;GO:0048038","GO:0009308;GO:0055114","amine metabolic process;obsolete oxidation-reduction process"
"ETH_00028615","ETH_00028615-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00028715","ETH_00028715-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00028765","ETH_00028765-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00028835","ETH_00028835-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00028855","ETH_00028855-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00029220","ETH_00029220-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"ETH_00029545","ETH_00029545-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"ETH_00030540","ETH_00030540-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
